MAP 	PAP 	PAV 	MAV 	ID
16	20	10	19	404 
17	21	12	21	405 
20	21	7	10	406 
15	14	12	16	407 
14	16	17	13	408 
10	12	7	10	409 
15	16	8	17	410 
21	19	16	19	411 
17	17	15	13	412 
10	19	8	14	413 
18	11	7	12	414 
18	20	13	15	415 
21	10	19	11	416 
13	16	13	8	417 
20	21	5	20	418 
21	21	12	19	419 
20	19	6	14	420 
20	16	16	13	421 
18	11	12	10	422 
20	17	18	13	423 
16	17	16	16	424 
17	12	15	16	425 
19	19	6	10	426 
19	20	5	11	427 
15	13	17	11	428 
21	18	14	7	429 
14	18	9	10	430 
18	19	10	6	431 
17	18	15	15	432 
10	5	5	7	433 
16	4	7	3	434 
13	15	6	12	435 
18	18	19	12	436 
18	9	13	11	437 
18	14	16	15	438 
19	20	18	13	439 
11	12	9	11	440 
13	16	6	15	441 
15	21	9	17	442 
18	19	17	15	443 
18	21	8	3	444 
16	14	6	16	445 
16	18	10	12	446 
14	16	13	18	447 
21	19	10	9	448 
12	11	9	9	449 
17	17	16	16	450 
14	13	16	9	451 
12	12	11	14	452 
8	10	10	9	453 
16	17	10	13	454 
15	15	11	13	455 
19	14	13	16	456 
14	19	10	12	457 
18	16	16	17	458 
18	16	8	9	459 
4	4	6	5	460 
19	12	10	15	461 
18	18	13	12	462 
17	17	15	13	463 
15	15	11	14	464 
14	20	12	15	465 
12	15	10	15	466 
21	20	13	19	467 
19	15	12	17	468 
12	13	9	15	469 
13	6	11	10	470 
21	21	21	17	471 
10	12	8	11	472 
17	19	9	13	473 
20	21	13	14	474 
10	11	9	11	475 
16	9	9	8	476 
15	16	10	17	477 
21	21	21	21	478 
18	17	18	17	479 
14	13	13	13	480 
18	11	10	6	481 
15	20	12	19	482 
14	16	9	8	483 
16	15	11	16	484 
18	17	15	19	485 
20	20	15	21	486 
14	15	16	17	487 
10	15	10	16	488 
10	17	13	17	489 
18	16	13	12	490 
14	12	9	9	491 
20	21	14	10	492 
20	21	8	9	493 
17	15	10	16	494 
15	15	11	13	495 
14	18	10	19	496 
14	11	12	13	497 
11	12	6	9	498 
18	19	13	13	499 
18	19	6	11	500 
21	18	10	8	501 
16	14	14	15	502 
15	18	15	7	503 
16	15	17	16	504 
21	17	19	18	505 
21	14	4	4	506 
17	20	11	5	507 
21	18	16	14	508 
20	15	13	12	509 
15	18	13	14	510 
20	21	20	21	511 
18	12	11	9	512 
17	18	18	9	513 
13	9	12	13	514 
16	15	10	14	515 
17	4	13	5	516 
15	21	13	9	517 
21	6	8	10	518 
13	12	13	13	519 
19	21	15	18	520 
18	12	15	6	521 
21	21	21	21	522 
16	15	17	13	523 
